,tconst,primaryTitle,startYear,ordering,nconst,characters,primaryName,birthYear
82575,tt0177789,Galaxy Quest,1999,2.0,nm0000244,"[""Gwen DeMarco""]",Sigourney Weaver,1949
82576,tt0271219,Tadpole,2002,1.0,nm0000244,"[""Eve Grubman""]",Sigourney Weaver,1949
82577,tt0308353,Happily N'Ever After,2006,1.0,nm0000244,"[""Frieda""]",Sigourney Weaver,1949
82578,tt0311289,Holes,2003,2.0,nm0000244,"[""The Warden""]",Sigourney Weaver,1949
82579,tt0373024,Imaginary Heroes,2004,1.0,nm0000244,"[""Sandy Travis""]",Sigourney Weaver,1949
82580,tt0473709,The TV Set,2006,2.0,nm0000244,"[""Lenny""]",Sigourney Weaver,1949
82581,tt0871426,Baby Mama,2008,3.0,nm0000244,"[""Chaffee Bicknell""]",Sigourney Weaver,1949
82582,tt1196134,Crazy on the Outside,2010,2.0,nm0000244,"[""Viki""]",Sigourney Weaver,1949
82583,tt1414382,You Again,2010,3.0,nm0000244,"[""Ramona""]",Sigourney Weaver,1949
82604,tt0085450,Doctor Detroit,1983,3.0,nm0001146,"[""Monica McNeil""]",Donna Dixon,1957
82605,tt0094910,The Couch Trip,1988,4.0,nm0001146,"[""Laura Rollins""]",Donna Dixon,1957
82606,tt0095556,Lucky Stiff,1988,1.0,nm0001146,"[""Cynthia Mitchell""]",Donna Dixon,1957
82607,tt0085450,Doctor Detroit,1983,4.0,nm0499989,"[""Jasmine Wu""]",Lydia Lei,1952
82625,tt0085524,Fantozzi subisce ancora,1983,2.0,nm0563481,"[""Signorina Silvani""]",Anna Mazzamauro,1938
82626,tt0085524,Fantozzi subisce ancora,1983,3.0,nm0904371,"[""Pina Fantozzi""]",Milena Vukotic,1935
82640,tt0085546,The First Time,1983,3.0,nm0250616,"[""Nick Rand""]",Marshall Efron,1938
82641,tt0125263,Is There Sex After Death?,1971,3.0,nm0250616,"[""Vince Domino""]",Marshall Efron,1938
82642,tt0159434,The Faking of the President,1976,1.0,nm0250616,"[""Donald Segretti""]",Marshall Efron,1938
82643,tt0085546,The First Time,1983,4.0,nm0298514,"[""Wendy""]",Wendy Fulton,1954
82655,tt0085547,The First Turn-On!!,1983,3.0,nm0340359,"[""Henry Putz""]",Googy Gress,1958
82656,tt1270288,Ashley's Ashes,2010,1.0,nm0340359,"[""Bob""]",Googy Gress,1958
82666,tt0085551,Get Crazy,1983,1.0,nm0000532,"[""Reggie Wanker""]",Malcolm McDowell,1943
82667,tt0096997,Buy & Cell,1988,3.0,nm0000532,"[""Warden Tennant""]",Malcolm McDowell,1943
82668,tt0110516,Milk Money,1994,4.0,nm0000532,"[""Waltzer""]",Malcolm McDowell,1943
82669,tt0119327,Hugo Pool,1997,3.0,nm0000532,"[""Henry""]",Malcolm McDowell,1943
82670,tt0297181,I Spy,2002,4.0,nm0000532,"[""Gundars""]",Malcolm McDowell,1943
82671,tt1725986,Some Kind of Beautiful,2014,4.0,nm0000532,"[""Gordon""]",Malcolm McDowell,1943
82672,tt2487028,Walk of Fame,2017,2.0,nm0000532,"[""Evan Polus""]",Malcolm McDowell,1943
82673,tt3500724,Kids vs Monsters,2015,2.0,nm0000532,"[""Boss Monster""]",Malcolm McDowell,1943
82674,tt4274656,Grow House,2017,1.0,nm0000532,"[""Dr. Doobie""]",Malcolm McDowell,1943
82683,tt0085580,Geek Maggot Bingo or The Freak from Suckweasel Mountain,1983,2.0,nm0375176,"[""The Rawhide Kid""]",Richard Hell,1949
82688,tt4212752,Scumbag,2017,3.0,nm0954143,"[""Brian""]",Nick Zedd,1958
82699,tt0085603,Going Berserk,1983,2.0,nm0280886,"[""Chick Leff""]",Joe Flaherty,1941
82700,tt0085603,Going Berserk,1983,3.0,nm0506405,"[""Sal DiPasquale""]",Eugene Levy,1946
82701,tt0088161,Splash,1984,3.0,nm0506405,"[""Walter Kornbluth""]",Eugene Levy,1946
82702,tt0090660,Armed and Dangerous,1986,3.0,nm0506405,"[""Norman Kane""]",Eugene Levy,1946
82703,tt0137292,Akbar's Adventure Tours,1998,2.0,nm0506405,"[""Stanford Wharton""]",Eugene Levy,1946
82704,tt0165086,The Secret Life of Girls,1999,2.0,nm0506405,"[""Hugh Sanford""]",Eugene Levy,1946
82705,tt0218839,Best in Show,2000,2.0,nm0506405,"[""Gerry Fleck""]",Eugene Levy,1946
82706,tt0231775,Down to Earth,2001,4.0,nm0506405,"[""Keyes""]",Eugene Levy,1946
82707,tt0260320,Repli-Kate,2002,4.0,nm0506405,"[""Jonas Fromer"",""Repli-Jonas""]",Eugene Levy,1946
82708,tt0305669,Bringing Down the House,2003,3.0,nm0506405,"[""Howie Rottman""]",Eugene Levy,1946
82709,tt0310281,A Mighty Wind,2003,2.0,nm0506405,"[""Mitch Cohen""]",Eugene Levy,1946
82710,tt0328828,American Wedding,2003,4.0,nm0506405,"[""Jim's Dad""]",Eugene Levy,1946
82711,tt0329028,Dumb and Dumberer: When Harry Met Lloyd,2003,3.0,nm0506405,"[""Principal Collins""]",Eugene Levy,1946
82712,tt0363282,New York Minute,2004,3.0,nm0506405,"[""Max Lomax""]",Eugene Levy,1946
82713,tt0381971,Curious George,2006,3.0,nm0506405,"[""Clovis""]",Eugene Levy,1946
82714,tt0452598,Cheaper by the Dozen 2,2005,4.0,nm0506405,"[""Jimmy Murtaugh""]",Eugene Levy,1946
82716,tt1456635,Goon,2011,4.0,nm0506405,"[""Dr. Glatt""]",Eugene Levy,1946
82717,tt2215285,Madea's Witness Protection,2012,2.0,nm0506405,"[""George Needleman""]",Eugene Levy,1946
82718,tt0085603,Going Berserk,1983,4.0,nm0589896,"[""Nancy Reese""]",Alley Mills,1951
82719,tt0271018,Jane White Is Sick & Twisted,2002,3.0,nm0589896,"[""Mom""]",Alley Mills,1951
